OBJECTID,Name,Acres,Neighborhood_ID,SqMiles,ORIG_FID,Longitude,Latitude
1,Roslindale,1605.568238,15,2.51,27,-71.12666184,42.28251523
2,Jamaica Plain,2519.245394,11,3.94,28,-71.11509683,42.30775958
3,Mission Hill,350.8535636,13,0.55,29,-71.10224864,42.33074463
4,Longwood,188.6119467,28,0.29,30,-71.10510206,42.33860019
5,Bay Village,26.53983916,33,0.04,31,-71.06903142,42.34909457
6,Leather District,15.63990811,27,0.02,32,-71.05782751,42.35097427
7,Chinatown,76.32440999,26,0.12,33,-71.06166148,42.34901864
8,North End,126.910439,14,0.2,34,-71.05385712,42.36545602
9,Roxbury,2108.469072,16,3.29,35,-71.08664418,42.31850817
10,South End,471.5353556,32,0.74,36,-71.07136876,42.34134164
11,Back Bay,399.3144111,2,0.62,37,-71.08053492,42.34985181
12,East Boston,3012.059593,8,4.71,38,-71.03081426,42.37303429
13,Charlestown,871.5412229,4,1.36,39,-71.06366441,42.37904445
14,West End,190.4907324,31,0.3,40,-71.06542715,42.36453917
15,Beacon Hill,200.156904,30,0.31,41,-71.06826177,42.35704132
16,Downtown,397.4728464,7,0.62,42,-71.05765024,42.35558431
17,Fenway,560.6184614,34,0.88,43,-71.09611389,42.3447584
18,Brighton,1840.408596,25,2.88,44,-71.15502588,42.34544794
19,West Roxbury,3516.421786,19,5.49,45,-71.16002608,42.28063221
20,Mattapan,1352.098354,12,2.11,47,-71.09144511,42.27699635
21,Dorchester,4662.879457,6,7.29,48,-71.06345733,42.29845145
22,South Boston Waterfront,621.8435237,29,0.97,49,-71.04172641,42.34640807
23,South Boston,1439.888807,17,2.25,50,-71.05640323,42.33470674
24,Allston,998.5344787,24,1.56,51,-71.12856228,42.3583962
25,Harbor Islands,824.8886579,22,1.29,52,-70.96559305,42.3205484
